Ticker,Name,Primary Bucket,Side,Crest,Crest Rationale
SMCI,Super Micro Computer Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
SYM,Symbotic Inc Ordinary Shares - Class A,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
SNPS,Synopsys Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
TSM,Taiwan Semiconductor Manufacturing Co Ltd ADR,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
TLN,Talen Energy Corp Ordinary Shares New,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
TEM,Tempus AI Inc Class A common stock,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
TCEHY,Tencent Holdings Ltd ADR,7 Hyperscaler,Hyperscaler,Mid,"Mid-crest, Hyperscaler: platform counterparty — builds and buys compute; platform counterparty."
TER,Teradyne Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
WULF,TeraWulf Inc,5 Power/Cooling,Demand,Late,"Late-crest, Demand: power, cooling, grid — built after chips are ordered; buys/rents the compute (neocloud)."
TSLA,Tesla Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
CC,The Chemours Co,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
TM,Toyota Motor Corp ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
TT,Trane Technologies PLC Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
TWLO,Twilio Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
PATH,UiPath Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
UCTT,Ultra Clean Holdings Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
VECO,Veeco Instruments Inc,3 Foundry/Semicap,Supplier,Mid,"Mid-crest, Supplier: fab equipment that enables the chip ramp; sells into the buildout."
VEEV,Veeva Systems Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
VRT,Vertiv Holdings Co Class A,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
VWAV,VisionWave Holdings Inc,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
VST,Vistra Corp,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
VNET,VNET Group Inc ADR,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
WRD,WeRide Inc ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
WDC,Western Digital Corp,2 Memory,Supplier,Early,"Early-crest, Supplier: HBM/DRAM/NAND — deep cyclical, ordered early; sells into the buildout."
WLDN,Willdan Group Inc,5 Power/Cooling,Supplier,Late,"Late-crest, Supplier: power, cooling, grid — built after chips are ordered; sells into the buildout."
WIT,Wipro Ltd ADR,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
WDAY,Workday Inc Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
XIACY,Xiaomi Corp ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
XPEV,XPeng Inc ADR,R Robotics/Autonomy,Supplier,Mid,"Mid-crest, Supplier: AI applied to robotics/autonomy; sells into the buildout."
ZBRA,Zebra Technologies Corp Ordinary Shares - Class A,X Edge AI/Vision,Supplier,Mid,"Mid-crest, Supplier: edge inference / machine vision; sells into the buildout."
ZETA,Zeta Global Holdings Corp Class A,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
ZS,Zscaler Inc,6 AI Software,Supplier,Mid,"Mid-crest, Supplier: software layer monetising the buildout; sells into the buildout."
